3,370,3800
3,370,4200
3,370,3125
1,950,4860
1,1700,4860
1,2950,4860
0,1000,3030
0,1800,3030
3,3380,3350
3,3380,3750
3,3380,4200
3,3380,1300
3,3380,1550
3,3380,2300
2,3260,3350
2,3260,3750
2,3260,4200
1,3600,4860
1,4300,4860
1,5000,4860
1,5700,1875
1,6000,1875
1,6300,1875
1,6600,1875
1,6900,1875
0,3700,1075
0,4200,1070
0,4700,1070
1,5700,4860
1,6300,4860
1,7000,4860
1,7700,4860
2,7975,2500
2,7975,3100
2,7975,3700
2,7975,4400
1,9000,1650
1,9500,1650
1,10000,1650
1,10500,1650
1,11000,1650
1,11500,1650
1,12000,1650
1,12500,1650
1,13000,1650
1,13500,1650
1,14000,1650
1,14500,1650
1,15000,1650
1,15500,1650
1,16000,1650
1,16500,1650
1,17000,1650
1,17500,1650
0,9000,1775
0,9500,1775
0,10000,1775
0,10500,1775
0,11000,1775
0,11500,1775
0,12000,1775
0,12500,1775
0,13000,1775
0,13500,1775
0,14000,1775
0,14500,1775
0,15000,1775
0,15500,1775
0,16000,1775
0,16500,1775
0,17000,1775
0,17500,1775
0,8500,25
0,9000,25
0,9500,25
0,10000,25
0,10500,25
0,11000,25
0,11500,25
0,12000,25
0,12500,25
0,13000,25
0,13500,25
0,14000,25
0,14500,25
0,15000,25
0,15500,25
0,16000,25
0,16500,25
0,17000,25
0,17500,25
1,7500,950
1,7000,950
1,6500,950
1,6000,950
1,5500,950
1,5000,950
1,4500,950
1,4000,950
1,3500,950
1,3000,950
1,2500,950
1,2000,950
1,1500,950
1,1000,950
2,18150,300
2,18150,550
2,18150,800
2,18150,950
2,18150,1200
0,20550,5
0,21050,5
0,21550,5
0,22050,5
0,22550,5
0,23050,5
0,23550,5
0,24050,5
0,24550,5
1,20550,3705
1,21050,3705
1,21550,3705
1,22050,3705
1,22550,3705
1,23050,3705
1,23550,3705
1,24050,3705
3,20550,800
3,20550,1300
3,20550,1800
3,20550,2300
3,20550,2800
3,20550,3300
2,24900,800
2,24900,1300
2,24900,1800
2,24900,2300
2,24900,2800
2,24900,3300
2,18150,4000
2,18150,3700
2,18150,3400
2,18150,3100
2,18150,2800
2,18150,2400
1,17800,4375
1,17500,4375
1,17300,4375
1,17000,4375
1,16700,4375
1,16400,4375
1,16100,4375
1,15800,4375
1,15500,4375
1,15200,4375
1,14900,4375
1,14500,4375
1,14100,4375
1,13800,4375
1,13500,4375
1,13100,4375
1,12800,4375
1,12400,4375
1,12000,4375
1,11700,4375
1,11300,4375
1,11000,4375
1,10600,4375
1,10300,4375
1,9900,4375
1,9500,4375
1,9100,4375
3,8100,900
3,8100,1400
3,8100,1900
3,8100,2400
3,8100,2900
3,8100,3400
3,8100,3900
