1,5050,1100,50,850,-1,-1,-1,-1
1,3325,4620,50,300,2900,3100,100,100
1,3335,2750,50,250,7900,2150,100,100
1,3365,2750,50,250,3400,1150,100,100
0,400,1010,450,50,3200,1150,100,100
0,400,1050,450,50,450,1200,100,100
2,350,4550,50,450,-1,-1,-1,-1
0,8075,1710,900,50,18100,100,100,100
0,8075,1750,900,50,18100,1500,100,100
0,8075,4440,900,50,18100,2400,100,100
0,8075,4470,900,50,18100,4200,100,100
1,2150,450,50,600,2050,500,100,100
1,2350,450,50,600,2250,500,100,100
1,4250,450,50,600,4150,500,100,100
1,4450,450,50,600,4350,500,100,100
1,24500,3800,50,650,24000,1000,100,100
1,24400,3800,50,650,24500,1500,100,100
1,19200,3800,50,650,19300,4100,100,100
1,20000,3800,50,650,20100,4100,100,100
1,21500,3800,50,650,21600,4100,100,100
1,22000,3800,50,650,22100,4100,100,100
0,7850,1025,225,50,7900,750,100,100
1,8050,0,50,500,5100,1500,100,100
1,8950,4475,50,450,8850,4600,100,100
1,8950,4475,50,450,8850,4600,100,100
1,10950,4475,50,450,10850,4600,100,100
1,12950,4475,50,450,12850,4600,100,100
1,14950,4475,50,450,14850,4600,100,100
1,16950,4475,50,450,16850,4600,100,100
1,18950,4475,50,450,18850,4600,100,100
1,20950,4475,50,450,20850,4600,100,100
1,22950,4475,50,450,22850,4600,100,100
1,24350,4475,50,450,24250,4600,100,100
