0,360,2975,1500,50
0,1860,2975,1500,50
1,360,3025,1500,50
1,1860,3025,1500,50
0,500,4910,1500,50
0,2000,4910,1500,50
0,3500,4910,1500,50
0,5000,4910,1500,50
0,6500,4910,1500,50
0,8000,4910,1500,50
0,9500,4910,1500,50
0,11000,4910,1500,50
0,12500,4910,1500,50
0,14000,4910,1500,50
0,15500,4910,1500,50
0,17000,4910,1500,50
0,18500,4910,1500,50
0,20000,4910,1600,50
0,21600,4910,1700,50
0,23300,4910,1700,50
3,370,450,50,1500
3,370,1950,50,1300
3,370,3250,50,1300
3,3370,3010,50,1610
2,3320,3010,50,1610
2,3320,1060,50,1690
3,3370,1060,50,1690
2,8030,500,50,1500
3,8080,500,50,1500
2,8030,2000,50,1500
3,8080,2000,50,1500
2,8030,3500,50,1450
3,8080,3500,50,1450
1,350,440,1550,50
1,1900,440,1550,50
1,3450,440,1650,50
0,850,1000,1400,50
0,2250,1000,1400,50
0,3650,1000,1400,50
0,5050,1000,1400,50
0,6450,1000,1400,50
1,850,1050,1400,50
1,2250,1050,1400,50
1,3650,1050,1400,50
1,5050,1050,1400,50
1,6450,1050,1400,50
0,8950,1700,1500,50
0,10450,1700,1500,50
0,11950,1700,1500,50
0,13450,1700,1500,50
0,14950,1700,1500,50
0,16450,1700,1900,50
1,8950,1750,1500,50
1,10450,1750,1500,50
1,11950,1750,1500,50
1,13450,1750,1500,50
1,14950,1750,1500,50
1,16450,1750,1900,50
0,8950,4425,1500,50
0,10450,4425,1500,50
0,11950,4425,1500,50
0,13450,4425,1500,50
0,14950,4425,1500,50
0,16450,4425,1900,50
1,8950,4475,1500,50
1,10450,4475,1500,50
1,11950,4475,1500,50
1,13450,4475,1500,50
1,14950,4475,1500,50
1,16450,4475,1900,50
0,5050,1925,1500,50
0,6550,1925,1525,50
1,5050,1975,1500,50
1,6550,1975,1525,50
2,18225,0,50,1500
2,18225,1500,50,1500
2,18225,3000,50,1480
3,18275,0,50,1500
3,18275,1500,50,1500
3,18275,3000,50,1480
1,18275,4465,1500,50
0,18275,4415,1500,50
1,19775,4465,1500,50
0,19775,4415,1500,50
1,21275,4465,1500,50
0,21275,4415,1500,50
1,22775,4465,1770,50
0,22775,4415,1770,50
1,22000,1,1500,50
1,20500,1,1500,50
1,19000,1,1500,50
1,17500,1,1500,50
1,16000,1,1500,50
1,14500,1,1500,50
1,13000,1,1500,50
1,11500,1,1500,50
1,10000,1,1500,50
1,8500,1,1500,50
1,7000,1,1500,50
1,5500,1,1500,50
1,4000,1,1500,50
1,2500,1,1500,50
1,1000,1,1500,50
1,23500,1,1500,50
3,5090,0,50,450
2,24950,3500,50,1500
2,24950,2000,50,1500
2,24950,1000,50,1000
2,24950,0,50,1000
0,19250,3750,1940,50
0,21190,3750,1940,50
0,22560,3750,1980,50
1,19250,3800,1940,50
1,21190,3800,1940,50
1,22560,3800,1980,50
2,19200,0,50,1900
2,19200,1900,50,1900
3,19250,0,50,1900
3,19250,1900,50,1900
