4,1200,3300
1,570,3600
2,2350,4500
3,2500,3100
5,1030,4400
0,625,4700
2,2600,3100
4,500,3250
6,1650,4300
0,3150,3100
3,1200,3300
1,4200,2400
2,5200,2400
4,7200,2400
5,5200,3400
6,4200,3400
2,4200,4400
3,6750,3900
1,7150,4400
4,4150,1400
0,7200,3400
1,2300,2800
2,2100,2400
4,2000,1200
3,750,1200
5,600,2750
4,1600,700
2,500,550
3,625,550
0,660,1200
2,6250,1200
4,5050,650
2,3800,700
3,3950,700
2,6600,400
5,7200,200
1,7700,1200
4,7900,1200
0,5300,1600
4,7500,1700
6,7000,1400
5,5500,1400
0,14400,600
1,12000,1250
2,9200,1200
3,9950,400
4,8700,600
4,13000,900
2,16000,1100
1,17000,450
5,16200,600
2,16000,1400
1,8200,1900
4,8300,1900
0,8600,3900
2,12100,2400
3,11100,1900
4,15100,2000
5,14100,3900
3,17600,3100
2,17600,3900
4,17100,2100
3,10100,1400
5,9200,3100
4,9100,3100
2,8900,2800
1,8100,3400
0,9100,2000
4,13600,2200
3,12300,3700
2,12600,1900
2,12900,2000
4,13600,3900
3,15300,3800
0,16100,2400
6,16600,3400
0,15600,3500
4,10200,650
4,12800,400
4,7600,4700
2,7700,4700
4,8300,4700
2,8400,4700
1,9600,4700
5,11600,4700
2,13600,4700
3,15600,4700
1,17600,4700
6,19600,4700
4,21600,4700
3,23600,4700
2,22100,1400
1,21100,2400
5,21600,1900
4,22600,1400
4,23100,1900
2,23600,2400
1,23100,2900
2,23600,3400
3,21100,3400
2,21600,2900
4,9700,4700
6,11700,4700
5,13700,4700
2,15700,4700
1,17700,4700
4,19700,4700
2,21700,4700
2,23700,4700
5,22200,1400
0,21200,2400
2,21700,1900
5,22700,1400
2,23200,1900
5,23700,2400
4,23200,2900
1,23700,3400
2,21200,3400
5,21700,2900
4,7600,4700
2,7700,4700
1,9600,4700
5,11600,4700
2,13600,4700
3,15600,4700
1,17600,4700
6,19600,4700
4,21600,4700
3,23600,4700
2,22100,1400
1,21100,2400
5,21600,1900
4,22600,1400
4,23100,1900
2,23600,2400
1,23100,2900
2,23600,3400
3,21100,3400
2,21600,2900
4,24600,4700
2,24700,4700
0,23600,4200
1,19400,4200
3,20200,4200
6,21700,4200
2,22200,4200
0,23700,4200
2,19500,4200
4,20300,4200
5,21800,4200
0,22300,4200
2,2500,650
0,13800,2400
1,13000,2300
2,13800,3800
4,15400,3800
3,16200,2400
5,16700,3400
2,15700,3500
3,17200,2600
4,12700,2600
2,14200,2800
4,11400,3400
6,15300,3100
4,9800,100
4,9100,1200
2,11700,800
4,14200,1400
2,14300,1400
4,17000,250
